foler/package name,pypi link,latest track1 version,latest track1 release date,track1 GA version,latest track2 version,latest track2 release date,track2 GA version,cli dependency,readme config,bot advice,readme link,multi api,whl size(MB),test coverage,passed,failed,skipped
newrelicobservability/azure-mgmt-newrelicobservability,https://pypi.org/pypi/azure-mgmt-newrelicobservability,NA,NA,NA,1.1.0,2024/03/18,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/newrelic/resource-manager,,0.105,-, -, -, -
iotfirmwaredefense/azure-mgmt-iotfirmwaredefense,https://pypi.org/pypi/azure-mgmt-iotfirmwaredefense,NA,NA,NA,1.0.0,2024/03/27,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/fist/resource-manager,,0.099,-, -, -, -
botservice/azure-mgmt-botservice,https://pypi.org/pypi/azure-mgmt-botservice,0.3.0,2021/01/26,NA,2.0.0,2023/01/17,1.0.0,track2_2.0.0b3,track2,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/botservice/resource-manager,,0.121,-, -, -, -
mongocluster/azure-mgmt-mongocluster,https://pypi.org/pypi/azure-mgmt-mongocluster,NA,NA,NA,1.0.0,2024/09/27,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/mongocluster/resource-manager,,0.071,-, -, -, -
network/azure-mgmt-privatedns,https://pypi.org/pypi/azure-mgmt-privatedns,0.1.0,2019/02/27,NA,1.2.0,2024/09/23,1.0.0,track2_1.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/privatedns/resource-manager,,0.065,-, -, -, -
costmanagement/azure-mgmt-costmanagement,https://pypi.org/pypi/azure-mgmt-costmanagement,0.2.0,2020/04/10,NA,4.0.1,2023/07/19,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/cost-management/resource-manager,,0.173,-, -, -, -
nginx/azure-mgmt-nginx,https://pypi.org/pypi/azure-mgmt-nginx,NA,NA,NA,3.1.0b1,2024/03/18,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/nginx/resource-manager,,0.071,-, -, -, -
digitaltwins/azure-mgmt-digitaltwins,https://pypi.org/pypi/azure-mgmt-digitaltwins,1.0.0,2020/10/22,1.0.0,6.4.0,2023/03/20,6.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/digitaltwins/resource-manager,True,0.431,-, -, -, -
containerinstance/azure-mgmt-containerinstance,https://pypi.org/pypi/azure-mgmt-containerinstance,3.0.0,2021/07/20,1.0.0,10.1.0,2023/04/21,7.0.0,track2_10.1.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/containerinstance/resource-manager,,0.083,-, -, -, -
resourcehealth/azure-mgmt-resourcehealth,https://pypi.org/pypi/azure-mgmt-resourcehealth,NA,NA,NA,1.0.0b5,2023/10/24,NA,NA,track2,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/resourcehealth/resource-manager,True,0.278,-, -, -, -
sql/azure-mgmt-sqlvirtualmachine,https://pypi.org/pypi/azure-mgmt-sqlvirtualmachine,0.5.0,2019/11/27,NA,1.0.0b6,2023/06/21,NA,track2_1.0.0b5,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/sqlvirtualmachine/resource-manager,,0.091,-, -, -, -
paloaltonetworks/azure-mgmt-paloaltonetworksngfw,https://pypi.org/pypi/azure-mgmt-paloaltonetworksngfw,NA,NA,NA,2.0.0b1,2023/11/22,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/paloaltonetworks/resource-manager,,0.169,-, -, -, -
rdbms/azure-mgmt-rdbms,https://pypi.org/pypi/azure-mgmt-rdbms,3.1.0rc1,2020/09/29,1.0.0,10.2.0b18,2024/10/11,8.0.0,track2_10.2.0b17,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/mariadb/resource-manager,,0.531,-, -, -, -
